Time,Arb
'0:0:29.5,739
'0:0:29.55,759
'0:0:29.6,779
'0:0:29.65,795
'0:0:29.7,812
'0:0:29.75,829
'0:0:29.8,847
'0:0:29.85,863
'0:0:29.9,878
'0:0:29.95,891
'0:0:30.0,907
'0:0:30.05,919
'0:0:30.1,931
'0:0:30.15,939
'0:0:30.2,939
'0:0:30.25,937
'0:0:30.3,941
'0:0:30.35,948
'0:0:30.4,964
'0:0:30.45,981
'0:0:30.5,995
'0:0:30.55,1006
'0:0:30.6,1020
'0:0:30.65,1036
'0:0:30.7,1052
'0:0:30.75,1065
'0:0:30.8,1078
'0:0:30.85,1087
'0:0:30.9,1097
'0:0:30.95,1104
'0:0:31.0,1103
'0:0:31.05,1094
'0:0:31.1,1077
'0:0:31.15,1057
'0:0:31.2,1034
'0:0:31.25,1014
'0:0:31.3,987
'0:0:31.35,963
'0:0:31.4,944
'0:0:31.45,934
'0:0:31.5,925
'0:0:31.55,908
'0:0:31.6,889
'0:0:31.65,875
'0:0:31.7,860
'0:0:31.75,845
'0:0:31.8,830
'0:0:31.85,820
'0:0:31.9,810
'0:0:31.95,802
'0:0:32.0,797
'0:0:32.05,793
'0:0:32.1,788
'0:0:32.15,779
'0:0:32.2,765
'0:0:32.25,756
'0:0:32.3,741
'0:0:32.35,723
'0:0:32.4,707
'0:0:32.45,699
'0:0:32.5,697
'0:0:32.55,700
'0:0:32.6,699
'0:0:32.65,696
'0:0:32.7,694
'0:0:32.75,691
'0:0:32.8,689
'0:0:32.85,686
'0:0:32.9,681
'0:0:32.95,677
'0:0:33.0,674
'0:0:33.05,669
'0:0:33.1,666
'0:0:33.15,665
'0:0:33.2,667
'0:0:33.25,669
'0:0:33.3,675
'0:0:33.35,683
'0:0:33.4,686
'0:0:33.45,691
'0:0:33.5,706
'0:0:33.55,727
'0:0:33.6,752
'0:0:33.65,774
'0:0:33.7,795
'0:0:33.75,814
'0:0:33.8,834
'0:0:33.85,851
'0:0:33.9,869
'0:0:33.95,885
'0:0:34.0,902
'0:0:34.05,917
'0:0:34.1,933
'0:0:34.15,945
'0:0:34.2,957
'0:0:34.25,970
'0:0:34.3,980
'0:0:34.35,987
'0:0:34.4,991
'0:0:34.45,989
'0:0:34.5,987
'0:0:34.55,994
'0:0:34.6,1005
'0:0:34.65,1019
'0:0:34.7,1033
'0:0:34.75,1042
'0:0:34.8,1049
'0:0:34.85,1052
'0:0:34.9,1055
'0:0:34.95,1059
'0:0:35.0,1063
'0:0:35.05,1069
'0:0:35.1,1076
'0:0:35.15,1079
'0:0:35.2,1079
'0:0:35.25,1078
'0:0:35.3,1071
'0:0:35.35,1059
'0:0:35.4,1041
'0:0:35.45,1018
'0:0:35.5,986
'0:0:35.55,960
'0:0:35.6,939
'0:0:35.65,926
'0:0:35.7,914
'0:0:35.75,900
'0:0:35.8,884
'0:0:35.85,871
'0:0:35.9,859
'0:0:35.95,849
'0:0:36.0,838
'0:0:36.05,828
'0:0:36.1,818
'0:0:36.15,809
'0:0:36.2,800
'0:0:36.25,792
'0:0:36.3,783
'0:0:36.35,772
'0:0:36.4,763
'0:0:36.45,756
'0:0:36.5,742
'0:0:36.55,726
'0:0:36.6,714
'0:0:36.65,709
'0:0:36.7,708
'0:0:36.75,708
'0:0:36.8,706
'0:0:36.85,704
'0:0:36.9,702
'0:0:36.95,701
'0:0:37.0,699
'0:0:37.05,696
'0:0:37.1,694
'0:0:37.15,691
'0:0:37.2,689
'0:0:37.25,688
'0:0:37.3,689
'0:0:37.35,689
'0:0:37.4,688
'0:0:37.45,687
'0:0:37.5,686
'0:0:37.55,684
'0:0:37.6,685
'0:0:37.65,695
'0:0:37.7,714
'0:0:37.75,735
'0:0:37.8,758
'0:0:37.85,778
'0:0:37.9,799
'0:0:37.95,817
'0:0:38.0,834
'0:0:38.05,847
'0:0:38.1,861
'0:0:38.15,874
'0:0:38.2,891
'0:0:38.25,906
'0:0:38.3,923
'0:0:38.35,938
'0:0:38.4,953
'0:0:38.45,965
'0:0:38.5,976
'0:0:38.55,980
'0:0:38.6,981
'0:0:38.65,985
'0:0:38.7,994
'0:0:38.75,1005
'0:0:38.8,1017
'0:0:38.85,1023
'0:0:38.9,1030
'0:0:38.95,1034
'0:0:39.0,1038
'0:0:39.05,1042
'0:0:39.1,1047
'0:0:39.15,1052
'0:0:39.2,1058
'0:0:39.25,1064
'0:0:39.3,1071
'0:0:39.35,1078
'0:0:39.4,1084
'0:0:39.45,1087
'0:0:39.5,1087
'0:0:39.55,1079
'0:0:39.6,1065
'0:0:39.65,1059
'0:0:39.7,1060
'0:0:39.75,1062
'0:0:39.8,1063
'0:0:39.85,1059
'0:0:39.9,1049
'0:0:39.95,1035
'0:0:40.0,1020
'0:0:40.05,1010
'0:0:40.1,1018
'0:0:40.15,1042
'0:0:40.2,1061
'0:0:40.25,1058
'0:0:40.3,1043
'0:0:40.35,1028
'0:0:40.4,1010
'0:0:40.45,993
'0:0:40.5,974
'0:0:40.55,955
'0:0:40.6,932
'0:0:40.65,914
'0:0:40.7,898
'0:0:40.75,887
'0:0:40.8,877
'0:0:40.85,866
'0:0:40.9,854
'0:0:40.95,841
'0:0:41.0,825
'0:0:41.05,812
'0:0:41.1,798
'0:0:41.15,788
'0:0:41.2,777
'0:0:41.25,766
'0:0:41.3,754
'0:0:41.35,742
'0:0:41.4,728
'0:0:41.45,717
'0:0:41.5,704
'0:0:41.55,696
'0:0:41.6,687
'0:0:41.65,672
'0:0:41.7,655
'0:0:41.75,647
'0:0:41.8,640
'0:0:41.85,638
'0:0:41.9,636
'0:0:41.95,636
'0:0:42.0,640
'0:0:42.05,646
'0:0:42.1,655
'0:0:42.15,666
'0:0:42.2,681
'0:0:42.25,697
'0:0:42.3,716
'0:0:42.35,734
'0:0:42.4,755
'0:0:42.45,773
'0:0:42.5,792
'0:0:42.55,808
'0:0:42.6,827
'0:0:42.65,845
'0:0:42.7,862
'0:0:42.75,867
'0:0:42.8,865
'0:0:42.85,871
'0:0:42.9,883
'0:0:42.95,898
'0:0:43.0,914
'0:0:43.05,925
'0:0:43.1,935
'0:0:43.15,945
'0:0:43.2,957
'0:0:43.25,970
'0:0:43.3,984
'0:0:43.35,997
'0:0:43.4,1010
'0:0:43.45,1020
'0:0:43.5,1030
'0:0:43.55,1039
'0:0:43.6,1048
'0:0:43.65,1058
'0:0:43.7,1073
'0:0:43.75,1085
'0:0:43.8,1090
'0:0:43.85,1085
'0:0:43.9,1077
'0:0:43.95,1073
'0:0:44.0,1072
'0:0:44.05,1077
'0:0:44.1,1085
'0:0:44.15,1089
'0:0:44.2,1092
'0:0:44.25,1094
'0:0:44.3,1090
'0:0:44.35,1083
'0:0:44.4,1077
'0:0:44.45,1077
'0:0:44.5,1079
'0:0:44.55,1079
'0:0:44.6,1077
'0:0:44.65,1068
'0:0:44.7,1056
'0:0:44.75,1045
'0:0:44.8,1033
'0:0:44.85,1027
'0:0:44.9,1015
'0:0:44.95,990
'0:0:45.0,965
'0:0:45.05,950
'0:0:45.1,941
'0:0:45.15,935
'0:0:45.2,927
'0:0:45.25,917
'0:0:45.3,907
'0:0:45.35,898
'0:0:45.4,888
'0:0:45.45,876
'0:0:45.5,862
'0:0:45.55,853
'0:0:45.6,841
'0:0:45.65,825
'0:0:45.7,807
'0:0:45.75,794
'0:0:45.8,782
'0:0:45.85,774
'0:0:45.9,764
'0:0:45.95,762
'0:0:46.0,757
'0:0:46.05,742
'0:0:46.1,726
'0:0:46.15,715
'0:0:46.2,706
'0:0:46.25,700
'0:0:46.3,695
'0:0:46.35,691
'0:0:46.4,688
'0:0:46.45,682
'0:0:46.5,676
'0:0:46.55,670
'0:0:46.6,666
'0:0:46.65,663
'0:0:46.7,662
'0:0:46.75,663
'0:0:46.8,669
'0:0:46.85,680
'0:0:46.9,699
'0:0:46.95,720
'0:0:47.0,742
'0:0:47.05,761
'0:0:47.1,771
'0:0:47.15,774
'0:0:47.2,784
'0:0:47.25,799
'0:0:47.3,820
